"Path","Lines","Defs"
"internal\agent\manager.go","418","type Status string | const ( | type ControlAction string | const ( | type RunContext struct { | type SpawnRequest struct { | type Run struct { | type Manager struct { | func NewManager() *Manager { | func (m *Manager) Spawn(ctx context.Context, req SpawnRequest) (*Run, error) { | func (m *Manager) Resume(ctx context.Context, id string, req SpawnRequest) (*Run, error) { | func (m *Manager) Wait(ctx context.Context, id string, timeout time.Duration) (Run, error) { | func (m *Manager) List() []Run { | func (m *Manager) Active() []Run { | func (m *Manager) Stop(id string) error { | func (m *Manager) Close(id string) error { | func (m *Manager) Steer(id, message string) error { | func (m *Manager) DrainControlMessages(id string) []string { | func (m *Manager) ControlMessages(id string) []string { | func (m *Manager) SetOutputFile(id, path string) error { | func (m *Manager) Get(id string) (Run, bool) { | func (m *Manager) configureRunLocked(run *Run, req SpawnRequest, action ControlAction, now time.Time, cancel context.CancelFunc) { | func (m *Manager) launch(fn func(context.Context, RunContext) (string, error), run *Run, runCtx context.Context) { | func cloneRun(run *Run) Run { | func attemptQuiesced(done chan struct{}) bool {"
"internal\agent\manager_test.go","394","func TestManagerSpawnAndWait(t *testing.T) { | func TestManagerListRunsIncludesActiveAndCompleted(t *testing.T) { | func TestManagerStopRunningAgent(t *testing.T) { | func TestManagerSteerAppendsControlMessage(t *testing.T) { | func TestManagerGetRunByID(t *testing.T) { | func TestManagerResumeReusesStableRunID(t *testing.T) { | func TestManagerResumeClearsPreviousTerminalArtifactsForNewAttempt(t *testing.T) { | func TestManagerResumeWaitsForStoppedAttemptToQuiesce(t *testing.T) {"
"internal\agents\loader.go","325","type Definition struct { | type DiscoveryOptions struct { | type LoadResult struct { | type sourceDir struct { | func LoadClaudeAgentDefinitions(opts DiscoveryOptions) LoadResult { | func ParseAgentFile(path string, data []byte) Definition { | func claudeAgentSourceDirs(opts DiscoveryOptions) []sourceDir { | func projectAgentDirsUpToRoot(cwd string) []string { | func loadAgentsFromDirectory(dir sourceDir) []Definition { | func parseAgentFile(path, data string) Definition { | func splitFrontmatter(data string) (string, string, bool) { | func parseFrontmatterFields(frontmatter string) map[string]any { | func parseListField(value any) []string { | func splitList(value string) []string { | func parseIntField(value any) int { | func parseBoolField(value any) bool { | func stringField(fields map[string]any, key string) string { | func normalizePath(path, base string) string {"
"internal\agents\loader_test.go","107","func TestLoadClaudeAgentDefinitionsLoadsProjectAndUserAgentsWithProjectPrecedence(t *testing.T) { | func TestParseAgentFileParsesClaudeFrontmatterShape(t *testing.T) {"
"internal\app\bootstrap.go","140","type bootstrapOptions struct { | type runtimeBootstrap struct { | func bootstrapRuntime(baseDir string, cfg config.Config, options bootstrapOptions) (*runtimeBootstrap, error) { | func resolveBootstrapWorkspaceRoots(baseDir string, configured []string, fallback []string) ([]string, error) { | func resolveBootstrapPath(baseDir, value string) string { | func bootstrapMCPConnections(cfg config.MCPConfig, disabled bool) []tools.MCPConnection { | func cloneStringMap(values map[string]string) map[string]string {"
"internal\app\bootstrap_test.go","149","func TestBootstrapRuntimeNormalizesClaudeCodePermissionModes(t *testing.T) { | func TestBootstrapRuntimeUsesFallbackWorkspaceRootsForDaemonStyleHosts(t *testing.T) { | func TestBootstrapRuntimePassesConfiguredMCPServersIntoRunner(t *testing.T) { | func TestBootstrapRuntimeCanDisableMCPStartup(t *testing.T) {"
"internal\app\cli.go","138","var runTUI = func(ctx context.Context, _ []string, stdout, stderr io.Writer) error { | func resolveTUIWorkspaceRoots(baseDir string, roots []string) ([]string, error) { | func newTUICompactor(cfg config.Config) *compaction.Service { | func RunCLI(ctx context.Context, args []string, stdout, stderr io.Writer) error { | func printCLIHelp(w io.Writer) {"
"internal\app\cli_test.go","180","func TestRunCLIHelpIncludesTUI(t *testing.T) { | func TestRunCLIDispatchesTUICommand(t *testing.T) { | func TestResolveTUIWorkspaceRootsFallsBackToCurrentDir(t *testing.T) { | func TestNewTUICompactorReturnsNilWhenVerificationModeDisabled(t *testing.T) { | func TestNewTUICompactorUsesLowThresholdsForVerificationMode(t *testing.T) { | func TestNewPersistentSessionManagerPersistsMessagesAcrossReload(t *testing.T) { | func TestNewPersistentSessionManagerKeepsIDsMonotonicAcrossReload(t *testing.T) { | func TestNewPersistentSessionManagerReloadsSessionMetadata(t *testing.T) {"
"internal\app\daemon.go","95","var daemonBootstrapRuntime = bootstrapRuntime | func RunDaemon(ctx context.Context, cfg config.Config, stdout io.Writer) error { | func newDaemonHandler(cfg config.Config, stdout io.Writer) (*http.ServeMux, *gateway.Server) {"
"internal\app\daemon_test.go","149","func TestNewDaemonHandlerServesWebUI(t *testing.T) { | func TestNewDaemonHandlerKeepsRootTextEndpoint(t *testing.T) { | func TestNewDaemonHandlerBootstrapsDaemonRuntimeOnlyOnce(t *testing.T) {"
